team,player,PTS,GP,MIN,TS%,PIE,FTP%,REB,AST,STL,BLK,TOV,PF
Bulls,Jimmy Butler,21,20,39.9,48.7,14,80,5.7,3.3,1.5,0.4,1.6,2
Bulls,Pau Gasol,19.5,19,35.7,48.9,16.1,77.4,12.1,2.2,0.6,1.8,2.2,1.8
Bulls,Derrick Rose,17.2,14,27.1,43.5,13.8,79,3.2,5.1,0.5,0.1,3.2,1.6
Bulls,Taj Gibson,12.3,15,29.5,51.7,9.7,68,6.5,1.5,0.6,1.3,1.3,3.2
Bulls,Aaron Brooks,10.5,22,18.9,46.4,8.3,85,1.6,3.2,0.5,0.1,2,2.3
Bulls,Mike Dunleavy,10.2,22,30.5,44.2,7.8,76.2,3.7,2,0.7,0.3,0.9,1.9
Bulls,Joakim Noah,8.9,17,31.8,48.4,7.5,62.8,9.6,4.5,0.6,1.5,1.9,3.3
Bulls,Kirk Hinrich,8.7,20,27.8,38.5,7.8,71.1,1.9,3.3,1.2,0.1,1.5,2.6
Bulls,Nikola Mirotic,7.4,22,17.7,43.9,5.2,81.5,5.3,1.1,0.4,0.8,1,2.5
Bulls,Doug McDermott,3.2,17,11.6,42.3,3.1,50,1.6,0.1,0.2,0.1,0.8,0.8
Bulls,Tony Snell,2.2,18,9.6,40.6,1.8,10,1,0.2,0.2,0.1,0.3,0.8
Bulls,Nazr Mohammed,1.2,6,6.7,30,1.7,50,1.7,0.2,0.2,0.5,0.2,1
Bulls,E Twaun Moore,1,9,3.7,33.3,1.3,0,0.9,0.4,0.1,0,0.1,0.1
Bulls,Cameron Bairstow,0.6,5,8,12.5,1.6,50,1,0.2,0.2,0.2,0.6,1.2
Nets,Deron Williams,16.5,22,35.4,41.2,13.1,89.8,3.3,6.7,1.2,0.4,2.6,2.5
Nets,Brook Lopez,16.1,16,30.1,48.8,13.4,82.5,6.1,0.8,0.7,1.7,2.2,3.1
Nets,Joe Johnson,15.8,20,34.3,44.6,13.6,83.3,5,3.7,1,0.2,2,2
Nets,Mirza Teletovic,10.7,19,24.5,43.7,8.8,72.7,5.3,1.5,0.3,0.6,1.5,2.1
Nets,Jarrett Jack,9.2,22,24.6,44.4,8.1,85.7,2.9,3.3,1,0.1,1.7,1.9
Nets,Bojan Bogdanovic,9.1,22,28.5,42.9,8,79.2,3,0.9,0.6,0.1,1.1,1.5
Nets,Kevin Garnett,7.8,19,23.6,44.3,7.4,88.9,8.4,1.8,0.9,0.3,1.3,2.4
Nets,Mason Plumlee,6,22,16.2,44.4,5.3,38.2,5.4,0.6,0.5,0.7,0.6,2
Nets,Alan Anderson,5.5,22,20,43.8,4.8,81.3,2.4,0.7,0.5,0.1,1,2.1
Nets,Brandon Davies,4,2,8.5,50,3,100,2.5,0.5,0.5,0.5,1,0.5
Nets,Cory Jefferson,3.7,11,10.2,47.2,3.3,58.3,2.5,0.4,0.1,0.5,0.2,0.9
Nets,Sergey Karasev,3.3,10,11.7,42.9,2.8,100,1.4,0.5,0.6,0,0.5,1.3
Nets,Jerome Jordan,3.2,18,9.8,66.7,2,100,2.3,0.4,0.4,0.4,0.7,1.4
Nets,Markel Brown,2.2,6,6.2,33.3,2,80,0.7,0.7,0,0,0.8,0
Nets,Darius Morris,2,2,3,50,2,0,0,1,0,0,0.5,0
Cavaliers,Kyrie Irving,20.6,22,37.9,46.2,15.4,84,3.1,5.2,1.6,0.4,1.7,2.2
Cavaliers,Kevin Love,17.6,22,36.2,44.3,12.8,81.8,10.1,2.2,0.7,0.4,1.9,2.6
Cavaliers,Tristan Thompson,9.3,22,26.3,52.6,6.9,65.7,7.2,0.6,0.5,1,1,2.5
