group,groupname,abb,team,value
1,Points,DAL,Mavericks,30
1,Points,PHX,Suns,26
1,Points,TOR,Raptors,29
1,Points,LAL,Lakers,21
1,Points,POR,TrailBlazers,19
1,Points,ORL,Magic,5
1,Points,NYK,Knicks,4
1,Points,LAC,Clippers,27
1,Points,SAS,Spurs,18
1,Points,SAC,Kings,15
1,Points,CLE,Cavaliers,24
1,Points,DEN,Nuggets,23
1,Points,CHI,Bulls,22
1,Points,MIL,Bucks,12
1,Points,ATL,Hawks,20
1,Points,GSW,Warriors,28
1,Points,NOP,Pelicans,17
1,Points,MEM,Grizzlies,16
1,Points,WAS,Wizards,14
1,Points,UTH,Utah Jazz,10
1,Points,BOS,Celtics,25
1,Points,MIA,Heat,8
1,Points,HOU,Rocket,13
1,Points,OKC,Thunder,6
1,Points,MIN,Timberwolves,11
1,Points,IND,Pacers,3
1,Points,DET,Pistons,2
1,Points,CHA,Horneys,7
1,Points,BKN,Nets,9
1,Points,PHI,76ers,1
2,Assists,DAL,Mavericks,23
2,Assists,PHX,Suns,15
2,Assists,TOR,Raptors,10
2,Assists,LAL,Lakers,9
2,Assists,POR,TrailBlazers,30
2,Assists,ORL,Magic,1
2,Assists,NYK,Knicks,16
2,Assists,LAC,Clippers,25
2,Assists,SAS,Spurs,24
2,Assists,SAC,Kings,2
2,Assists,CLE,Cavaliers,21
2,Assists,DEN,Nuggets,14
2,Assists,CHI,Bulls,22
2,Assists,MIL,Bucks,20
2,Assists,ATL,Hawks,26
2,Assists,GSW,Warriors,27
2,Assists,NOP,Pelicans,18
2,Assists,MEM,Grizzlies,19
2,Assists,WAS,Wizards,29
2,Assists,UTH,Utah Jazz,8
2,Assists,BOS,Celtics,28
2,Assists,MIA,Heat,12
2,Assists,HOU,Rocket,5
2,Assists,OKC,Thunder,4
2,Assists,MIN,Timberwolves,17
2,Assists,IND,Pacers,6
2,Assists,DET,Pistons,3
2,Assists,CHA,Horneys,11
2,Assists,BKN,Nets,7
2,Assists,PHI,76ers,13
3,Rebounds,DAL,Mavericks,11
3,Rebounds,PHX,Suns,12
3,Rebounds,TOR,Raptors,8
3,Rebounds,LAL,Lakers,16
3,Rebounds,POR,TrailBlazers,30
3,Rebounds,ORL,Magic,13
3,Rebounds,NYK,Knicks,2
3,Rebounds,LAC,Clippers,3
3,Rebounds,SAS,Spurs,22
3,Rebounds,SAC,Kings,25
3,Rebounds,CLE,Cavaliers,10
3,Rebounds,DEN,Nuggets,27
3,Rebounds,CHI,Bulls,24
3,Rebounds,MIL,Bucks,9
3,Rebounds,ATL,Hawks,4
3,Rebounds,GSW,Warriors,29
3,Rebounds,NOP,Pelicans,18
3,Rebounds,MEM,Grizzlies,15
3,Rebounds,WAS,Wizards,19
3,Rebounds,UTH,Utah Jazz,5
3,Rebounds,BOS,Celtics,20
3,Rebounds,MIA,Heat,1
3,Rebounds,HOU,Rocket,21
3,Rebounds,OKC,Thunder,26
3,Rebounds,MIN,Timberwolves,7
3,Rebounds,IND,Pacers,28
3,Rebounds,DET,Pistons,23
3,Rebounds,CHA,Horneys,14
3,Rebounds,BKN,Nets,17
3,Rebounds,PHI,76ers,6
4,Turnovers,DAL,Mavericks,27
4,Turnovers,PHX,Suns,8
4,Turnovers,TOR,Raptors,28
4,Turnovers,LAL,Lakers,26
4,Turnovers,POR,TrailBlazers,21
4,Turnovers,ORL,Magic,9
4,Turnovers,NYK,Knicks,12
4,Turnovers,LAC,Clippers,25
4,Turnovers,SAS,Spurs,18
4,Turnovers,SAC,Kings,4
4,Turnovers,CLE,Cavaliers,23
4,Turnovers,DEN,Nuggets,20
4,Turnovers,CHI,Bulls,15
4,Turnovers,MIL,Bucks,3
4,Turnovers,ATL,Hawks,13
4,Turnovers,GSW,Warriors,5
4,Turnovers,NOP,Pelicans,29
4,Turnovers,MEM,Grizzlies,24
4,Turnovers,WAS,Wizards,11
4,Turnovers,UTH,Utah Jazz,14
4,Turnovers,BOS,Celtics,10
4,Turnovers,MIA,Heat,19
4,Turnovers,HOU,Rocket,2
4,Turnovers,OKC,Thunder,6
4,Turnovers,MIN,Timberwolves,7
4,Turnovers,IND,Pacers,17
4,Turnovers,DET,Pistons,22
4,Turnovers,CHA,Horneys,30
4,Turnovers,BKN,Nets,16
4,Turnovers,PHI,76ers,1
5,Steals,DAL,Mavericks,18
5,Steals,PHX,Suns,22
5,Steals,TOR,Raptors,16
5,Steals,LAL,Lakers,15
5,Steals,POR,TrailBlazers,5
5,Steals,ORL,Magic,6
5,Steals,NYK,Knicks,10
5,Steals,LAC,Clippers,14
5,Steals,SAS,Spurs,19
5,Steals,SAC,Kings,3
5,Steals,CLE,Cavaliers,12
5,Steals,DEN,Nuggets,13
5,Steals,CHI,Bulls,4
5,Steals,MIL,Bucks,28
5,Steals,ATL,Hawks,27
5,Steals,GSW,Warriors,25
5,Steals,NOP,Pelicans,17
5,Steals,MEM,Grizzlies,23
5,Steals,WAS,Wizards,20
5,Steals,UTH,Utah Jazz,7
5,Steals,BOS,Celtics,21
5,Steals,MIA,Heat,24
5,Steals,HOU,Rocket,26
5,Steals,OKC,Thunder,8
5,Steals,MIN,Timberwolves,29
5,Steals,IND,Pacers,1
5,Steals,DET,Pistons,9
5,Steals,CHA,Horneys,2
5,Steals,BKN,Nets,11
5,Steals,PHI,76ers,30
6,Blocks,DAL,Mavericks,25
6,Blocks,PHX,Suns,10
6,Blocks,TOR,Raptors,16
6,Blocks,LAL,Lakers,13
6,Blocks,POR,TrailBlazers,24
6,Blocks,ORL,Magic,2
6,Blocks,NYK,Knicks,4
6,Blocks,LAC,Clippers,19
6,Blocks,SAS,Spurs,26
6,Blocks,SAC,Kings,3
6,Blocks,CLE,Cavaliers,12
