no,team,GP,FG%,TP%,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,rPTS,rAST,rREB,rPF,rTOV,rSTL,rBLK
16,Warriors,21,48.2,37.6,77.8,10,35.8,45.7,25.7,16.3,8.7,6.4,20.3,106.8,3,4,2,13,26,6,1
17,Pelicans,22,45.8,34.4,72.7,12,31.3,43.3,21.8,11.6,7.3,5.8,20.2,101.7,14,13,13,11,2,14,2
24,Thunder,23,43.5,31.7,74,11.6,33.4,45,19.6,15.9,6.6,5.8,24,94.7,25,27,5,30,25,23,3
13,Bulls,22,45.8,36,76.2,10.9,34,44.8,22.5,14.8,6.1,5.7,20,103.3,9,9,7,10,16,27,4
9,Spurs,23,46.4,37.6,78.1,9.7,34.3,44.1,24.1,14.4,7.7,5.6,19.2,101.7,13,7,9,7,13,12,5
1,Mavericks,24,48.2,35.1,77,11.2,30.3,41.5,23.5,11.7,7.7,5.6,20.3,110.5,1,8,20,12,4,13,6
5,TrailBlazers,23,45.2,36.9,78.5,11.6,34.8,46.4,32.5,13.9,6.1,5.6,19.2,102.3,12,1,1,6,10,26,7
20,Jazz,23,45.9,32.5,73.5,11,29.9,41,20.4,14.8,6.5,5.2,19,96.1,21,23,26,4,17,24,8
30,76ers,22,41,30.1,66.4,11.3,29.8,41,20.7,18.6,10.2,5,22.6,90.4,30,18,25,23,30,1,9
23,Rocket,22,42.6,34.9,71.1,12.5,31.5,44,19.6,17.6,9.1,5,23.6,99.2,18,26,10,28,29,5,10
19,Wizards,22,47,39.2,74.3,10.7,33,43.7,25.9,14.9,8,5,22.3,101,17,2,12,22,20,11,11
8,Clippers,22,48.2,37.8,77.3,7.6,32,39.6,24.2,12.7,7.2,4.9,21.4,106.4,4,6,28,18,6,17,12
15,Hawks,22,46.8,37.3,77.5,8.6,31.8,40.4,25.4,14.8,9.1,4.8,18.9,102.5,11,5,27,2,18,4,13
12,Nuggets,22,43.8,32.7,74.4,12.8,32.3,45,21,14.1,7.2,4.8,24,103.5,8,17,4,29,11,18,14
3,Raptors,23,46.1,36.3,80.4,11,30.2,41.2,20.4,11.6,7.3,4.7,22.2,108.4,2,21,23,20,3,15,15
26,Pacers,23,42.3,33,72.7,11.6,33.9,45.5,19.7,14.7,5.2,4.7,21,93.6,28,25,3,15,14,30,16
28,Horneys,22,42.9,30.4,74.4,9.4,32.5,41.9,20.6,11.5,5.3,4.6,19,94.8,24,20,17,3,1,29,17
4,Lakers,23,44.1,33.6,74.6,12.2,30,42.1,20.4,12.1,7.3,4.5,22.3,102.7,10,22,15,21,5,16,18
11,Cavaliers,22,46.3,35.9,76.9,11,30.5,41.5,22.3,13.7,7.1,4.4,18.6,103.5,7,10,21,1,8,19,19
14,Bucks,23,45.6,33.6,78.6,11.3,29.9,41.3,22.3,16.9,9.4,4.3,22.9,98.8,19,11,22,24,28,3,20
2,Suns,24,45.8,37.3,81.3,10.1,31.8,41.8,21,15.4,8.1,4.3,23.4,105.4,5,16,19,26,23,9,21
27,Pistons,23,40.7,32.9,69.7,12.6,32.3,44.8,19.5,13.8,6.6,4.3,19.7,93.3,29,28,8,8,9,22,22
29,Nets,21,44,32.1,76.8,10.3,32.4,42.7,20.1,14.7,7.1,4.1,20.5,95.6,22,24,14,14,15,20,23
25,Timberwolves,22,43.4,32.4,73.7,12.4,28.6,41,21.7,15.5,9.5,4,21.1,98.7,20,14,24,16,24,2,24
18,Grizzlies,22,47.2,37.5,77.8,10.3,31.7,42,21.9,13,8.1,4,19.2,101.5,15,12,16,5,7,8,25
21,Celtics,21,45.8,33.1,76.4,10.7,33.2,43.9,25.8,15.1,8,3.9,21.6,104.2,6,3,11,19,21,10,26
7,Knicks,25,45.5,37.2,78.5,10.5,28.5,39,21.2,14.8,6.7,3.7,23.6,94,27,15,29,27,19,21,27
10,Kings,23,45.8,32.7,78,11,33.9,44.9,19.4,16.3,6,3.7,23.2,101.4,16,29,6,25,27,28,28
6,Magic,25,45.4,37.3,72.8,9.2,32.7,41.9,19.2,15.4,6.4,3.6,21.2,94.1,26,30,18,17,22,25,29
22,Heat,23,46.6,37.1,72.7,8,27.4,35.4,20.6,14.1,8.4,3.4,19.9,95,23,19,30,9,12,7,30
